policy,demand_episode,day,total_reward,served_trips,unmet_demand,moved_bikes,overflow_bikes,split
baseline_no_op,0,2026-01-31,2.0,2.0,0.0,0,0.0,train
baseline_no_op,1,2026-02-01,51.0,51.0,0.0,0,0.0,train
baseline_no_op,2,2026-02-02,124.0,126.0,0.0,0,4.0,train
baseline_no_op,3,2026-02-03,149.0,158.0,2.0,0,10.0,train
baseline_no_op,4,2026-02-04,139.5,168.0,6.0,0,33.0,train
baseline_no_op,5,2026-02-05,153.5,180.0,7.0,0,25.0,train
baseline_no_op,6,2026-02-06,125.0,151.0,6.0,0,28.0,train
baseline_no_op,7,2026-02-07,61.0,61.0,0.0,0,0.0,train
baseline_no_op,8,2026-02-08,74.0,74.0,0.0,0,0.0,train
baseline_no_op,9,2026-02-09,128.0,152.0,6.0,0,24.0,train
baseline_no_op,10,2026-02-10,130.0,187.0,18.0,0,42.0,train
baseline_no_op,11,2026-02-11,102.5,192.0,29.0,0,63.0,train
baseline_no_op,12,2026-02-12,105.0,195.0,26.0,0,76.0,train
baseline_no_op,13,2026-02-13,176.0,204.0,2.0,0,48.0,train
baseline_no_op,14,2026-02-14,116.0,126.0,0.0,0,20.0,train
baseline_no_op,15,2026-02-15,122.0,140.0,9.0,0,0.0,train
baseline_no_op,16,2026-02-16,173.0,180.0,0.0,0,14.0,train
baseline_no_op,17,2026-02-17,35.5,203.0,64.0,0,79.0,train
baseline_no_op,18,2026-02-18,57.0,176.0,45.0,0,58.0,train
baseline_no_op,19,2026-02-19,-10.0,222.0,86.0,0,120.0,train
baseline_no_op,20,2026-02-20,141.5,156.0,0.0,0,29.0,train
trained_q_policy,0,2026-01-31,1.7,2.0,0.0,6,0.0,train
trained_q_policy,1,2026-02-01,50.1,51.0,0.0,18,0.0,train
trained_q_policy,2,2026-02-02,122.0,126.0,0.0,10,7.0,train
trained_q_policy,3,2026-02-03,154.5,160.0,0.0,10,10.0,train
trained_q_policy,4,2026-02-04,147.85,171.0,3.0,13,33.0,train
trained_q_policy,5,2026-02-05,149.0,179.0,8.0,10,27.0,train
trained_q_policy,6,2026-02-06,126.6,152.0,5.0,8,30.0,train
trained_q_policy,7,2026-02-07,58.85000000000001,61.0,0.0,13,3.0,train
trained_q_policy,8,2026-02-08,72.95,74.0,0.0,21,0.0,train
trained_q_policy,9,2026-02-09,129.35,152.0,6.0,3,21.0,train
trained_q_policy,10,2026-02-10,141.5,191.0,14.0,10,42.0,train
trained_q_policy,11,2026-02-11,117.04999999999998,197.0,24.0,9,63.0,train
trained_q_policy,12,2026-02-12,110.5,197.0,24.0,10,76.0,train
trained_q_policy,13,2026-02-13,172.64999999999998,203.0,3.0,7,48.0,train
trained_q_policy,14,2026-02-14,117.35,126.0,0.0,3,17.0,train
trained_q_policy,15,2026-02-15,130.24999999999997,143.0,6.0,15,0.0,train
trained_q_policy,16,2026-02-16,162.79999999999998,177.0,3.0,24,14.0,train
trained_q_policy,17,2026-02-17,64.50000000000001,213.0,54.0,20,79.0,train
trained_q_policy,18,2026-02-18,83.05,184.0,37.0,19,52.0,train
trained_q_policy,19,2026-02-19,-2.0999999999999988,225.0,83.0,22,120.0,train
trained_q_policy,20,2026-02-20,135.04999999999998,154.0,2.0,19,28.0,train
baseline_no_op,0,2026-02-21,221.0,238.0,0.0,0,34.0,test
baseline_no_op,1,2026-02-22,61.0,61.0,0.0,0,0.0,test
baseline_no_op,2,2026-02-24,30.0,30.0,0.0,0,0.0,test
baseline_no_op,3,2026-02-25,76.0,80.0,0.0,0,8.0,test
baseline_no_op,4,2026-02-26,114.0,180.0,23.0,0,40.0,test
baseline_no_op,5,2026-02-27,128.0,193.0,18.0,0,58.0,test
baseline_no_op,6,2026-02-28,227.5,233.0,0.0,0,11.0,test
trained_q_policy,0,2026-02-21,221.0,238.0,0.0,0,34.0,test
trained_q_policy,1,2026-02-22,60.85,61.0,0.0,3,0.0,test
trained_q_policy,2,2026-02-24,30.0,30.0,0.0,0,0.0,test
trained_q_policy,3,2026-02-25,76.0,80.0,0.0,0,8.0,test
trained_q_policy,4,2026-02-26,114.0,180.0,23.0,0,40.0,test
trained_q_policy,5,2026-02-27,128.0,193.0,18.0,0,58.0,test
trained_q_policy,6,2026-02-28,227.5,233.0,0.0,0,11.0,test
