policy,demand_episode,day,total_reward,served_trips,unmet_demand,moved_bikes,overflow_bikes,split
baseline_no_op,0,2026-01-31,2.0,2.0,0.0,0,0.0,train
baseline_no_op,1,2026-02-01,51.0,51.0,0.0,0,0.0,train
baseline_no_op,2,2026-02-02,124.0,126.0,0.0,0,4.0,train
baseline_no_op,3,2026-02-03,149.0,158.0,2.0,0,10.0,train
baseline_no_op,4,2026-02-04,139.5,168.0,6.0,0,33.0,train
baseline_no_op,5,2026-02-05,153.5,180.0,7.0,0,25.0,train
baseline_no_op,6,2026-02-06,125.0,151.0,6.0,0,28.0,train
baseline_no_op,7,2026-02-07,61.0,61.0,0.0,0,0.0,train
baseline_no_op,8,2026-02-08,74.0,74.0,0.0,0,0.0,train
baseline_no_op,9,2026-02-09,128.0,152.0,6.0,0,24.0,train
baseline_no_op,10,2026-02-10,130.0,187.0,18.0,0,42.0,train
baseline_no_op,11,2026-02-11,102.5,192.0,29.0,0,63.0,train
baseline_no_op,12,2026-02-12,105.0,195.0,26.0,0,76.0,train
baseline_no_op,13,2026-02-13,176.0,204.0,2.0,0,48.0,train
baseline_no_op,14,2026-02-14,116.0,126.0,0.0,0,20.0,train
baseline_no_op,15,2026-02-15,122.0,140.0,9.0,0,0.0,train
baseline_no_op,16,2026-02-16,173.0,180.0,0.0,0,14.0,train
baseline_no_op,17,2026-02-17,35.5,203.0,64.0,0,79.0,train
baseline_no_op,18,2026-02-18,57.0,176.0,45.0,0,58.0,train
baseline_no_op,19,2026-02-19,-10.0,222.0,86.0,0,120.0,train
baseline_no_op,20,2026-02-20,141.5,156.0,0.0,0,29.0,train
trained_q_policy,0,2026-01-31,1.7,2.0,0.0,6,0.0,train
trained_q_policy,1,2026-02-01,50.550000000000004,51.0,0.0,9,0.0,train
trained_q_policy,2,2026-02-02,120.85,126.0,0.0,13,9.0,train
trained_q_policy,3,2026-02-03,155.2,160.0,0.0,16,8.0,train
trained_q_policy,4,2026-02-04,147.15,171.0,3.0,17,34.0,train
trained_q_policy,5,2026-02-05,142.55,177.0,10.0,9,28.0,train
trained_q_policy,6,2026-02-06,127.5,152.0,5.0,10,28.0,train
trained_q_policy,7,2026-02-07,59.55,61.0,0.0,9,2.0,train
trained_q_policy,8,2026-02-08,73.85,74.0,0.0,3,0.0,train
trained_q_policy,9,2026-02-09,133.55,153.0,5.0,9,18.0,train
trained_q_policy,10,2026-02-10,137.99999999999997,190.0,15.0,20,42.0,train
trained_q_policy,11,2026-02-11,95.79999999999998,190.0,31.0,14,63.0,train
trained_q_policy,12,2026-02-12,107.2,196.0,25.0,16,76.0,train
trained_q_policy,13,2026-02-13,171.35,203.0,3.0,13,50.0,train
trained_q_policy,14,2026-02-14,118.2,126.0,0.0,6,15.0,train
trained_q_policy,15,2026-02-15,120.19999999999999,140.0,9.0,26,1.0,train
trained_q_policy,16,2026-02-16,168.54999999999998,179.0,1.0,19,15.0,train
trained_q_policy,17,2026-02-17,18.400000000000006,197.0,70.0,12,76.0,train
trained_q_policy,18,2026-02-18,31.8,169.0,52.0,14,65.0,train
trained_q_policy,19,2026-02-19,-16.85,220.0,88.0,17,120.0,train
trained_q_policy,20,2026-02-20,141.4,156.0,0.0,12,28.0,train
baseline_no_op,0,2026-02-21,221.0,238.0,0.0,0,34.0,test
baseline_no_op,1,2026-02-22,61.0,61.0,0.0,0,0.0,test
baseline_no_op,2,2026-02-24,30.0,30.0,0.0,0,0.0,test
baseline_no_op,3,2026-02-25,76.0,80.0,0.0,0,8.0,test
baseline_no_op,4,2026-02-26,114.0,180.0,23.0,0,40.0,test
baseline_no_op,5,2026-02-27,128.0,193.0,18.0,0,58.0,test
baseline_no_op,6,2026-02-28,227.5,233.0,0.0,0,11.0,test
trained_q_policy,0,2026-02-21,220.85,238.0,0.0,3,34.0,test
trained_q_policy,1,2026-02-22,60.85,61.0,0.0,3,0.0,test
trained_q_policy,2,2026-02-24,29.7,30.0,0.0,6,0.0,test
trained_q_policy,3,2026-02-25,75.7,80.0,0.0,6,8.0,test
trained_q_policy,4,2026-02-26,103.7,177.0,26.0,6,42.0,test
trained_q_policy,5,2026-02-27,128.2,193.0,18.0,6,57.0,test
trained_q_policy,6,2026-02-28,228.85,233.0,0.0,3,8.0,test
